variable,metric,time_end,scenario,mean,median,min,max,count
cwd,avg,future,ccsm,657.6440758549312,626.4,0,1162.8,92756
cwd,avg,future,cnrm,-35.027148627905476,20.25,-1175,959.3,92756
cwd,avg,future,hadg,727.2684212234249,707.312,0,1252.393,92756
cwd,avg,historic,hist,689.369671821954,700.1,0,1125.2,92785
ppt,djf,future,ccsm,814.4909252573153,776.2,345.5,1804.2,92785
ppt,djf,future,cnrm,957.3575664169855,911.7,402.4,2132.7,92785
ppt,djf,future,hadg,715.6380535646925,692.4,289.2,1601.6,92785
ppt,djf,historic,hist,197.12750229024087,194.6,82.2,351.4,92785
ppt,jja,future,ccsm,10.623901492698174,9.9,4.7,22.7,92785
ppt,jja,future,cnrm,20.910099692838283,20.8,9.2,32,92785
ppt,jja,future,hadg,14.239448186668104,15.4,3.1,22.8,92785
ppt,jja,historic,hist,3.2351177453252142,3.1,1.1,6.4,92785
rnr,avg,future,ccsm,683.5125059302902,657.3,0,2223.4,92756
rnr,avg,future,cnrm,899.114862650179,877.9,0,2621.1,92756
rnr,avg,future,hadg,577.0954603051016,553.8779999999999,0,2019.223,92756
rnr,avg,historic,hist,513.6953300630489,509.4,0,1453.1,92785
tmp,avg,future,ccsm,16.599604461928113,16.85,13.45,18.2,92785
tmp,avg,future,cnrm,16.57393759767204,16.8,13.4,18.2,92785
tmp,avg,future,hadg,17.741549496147005,18,14.2955,19.3555,92785
tmp,avg,historic,hist,14.355712043972625,14.481,11.3115,16.188,92785
tmp,djf,future,ccsm,7.1000032332812415,7.1,1.3,10.6,92785
tmp,djf,future,cnrm,5.476688042248208,5.5,-0.2,8.9,92785
tmp,djf,future,hadg,7.095305275637226,7,1.1,11,92785
tmp,djf,historic,hist,4.870019938567657,4.7,3.6,8,92785
tmp,jja,future,ccsm,28.612426577571807,29.4,20.3,33.6,92785
tmp,jja,future,cnrm,28.95238670043649,29.8,20.6,33.6,92785
tmp,jja,future,hadg,30.175830144958777,31.2,22.1,35.1,92785
tmp,jja,historic,hist,26.37378346392197,27.1807,16.249,32.4357,92785
